title,company,location,url,source,salary,job_type,description,posted_date,tags
Product Inventor / Engineer @ Fun Ecom Co | Great People & Flexible Hours,JLS Trading Co,Worldwide,https://remotive.com/remote-jobs/product/product-inventor-engineer-fun-ecom-co-great-people-flexible-hours-2088608,Remotive,,full_time,"<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><span style=""color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">- Do you see crappy products everywhere and think ""I could make that so much better""?</span></p><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><span style=""color:#000000;background-color:transparent;font-weigh",2026-01-20T21:33:20,"amazon, go, saas, CAD, PPC, supply chain , testing, Fusion, autocad, REST"
Senior DevOps Engineer,Marketerx,USA,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2070150,Remotive,$130k - $150k,full_time,"<div class=""h3"" dir=""ltr"" style=""line-height: 1.38; margin-top: 16pt; margin-bottom: 4pt;"">The Role: Architect of a Resilient Future</div>
<p dir=""ltr"" style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;""><span style=""color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-variant-alternates: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; ",2026-01-18T14:31:16,"AWS, cloud, docker, kubernetes, security, SRE, AI/ML, CI/CD, terraform, startup, ansible, infrastructure"
Client Support Specialist,Clipboard Health,"Europe, Canada, South Africa, Philippines, Jamaica",https://remotive.com/remote-jobs/customer-service/client-support-specialist-2086826,Remotive,,full_time,"<p class=""h2"" style=""--sj-tw-border-spacing-x: 0; --sj-tw-border-spacing-y: 0; --sj-tw-translate-x: 0; --sj-tw-translate-y: 0; --sj-tw-rotate: 0; --sj-tw-skew-x: 0; --sj-tw-skew-y: 0; --sj-tw-scale-x: 1; --sj-tw-scale-y: 1; --sj-tw-scroll-snap-strictness: proximity; --sj-tw-ring-offset-width: 0px; --sj-tw-ring-offset-color: #fff; --sj-tw-ring-color: rgba(59,130,246,.5); --sj-tw-ring-offset-shadow: 0 0 #0000; --sj-tw-ring-shadow: 0 0 #0000; --sj-tw-shadow: 0 0 #0000; --sj-tw-shadow-colored: 0 0 #",2026-01-16T14:01:26,"documentation, zendesk, account management, startup, Linux/Unix"
Senior Independent Software Developer,A.Team,"Americas, Europe, Israel",https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,Remotive,$90 - $150 /hour,contract,"<p style=""text-size-adjust: 100%; overflow-wrap: break-word;""><em>You must be located in the Americas, Europe, or Israel to apply.<br></em><br><br><a href=""https://build.a.team/remotivereferral"" rel=""nofollow"">A·Team</a> is a VC-backed, stealth, application-only home on the internet for senior independent software builders to team up with hand-picked, high-growth companies on their next big thing. </p>
<p style=""text-size-adjust: 100%; overflow-wrap: break-word;"">After talking with hundreds of i",2026-01-16T10:16:08,"go, wordpress, chat, apple, testing, catalyst"
Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel",https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,Remotive,$120 - $170 /hour,contract,"<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"" style=""border-color: oklch(0.3039 0.04 213.68 / 0.16); scrollbar-color: initial; scrollbar-width: initial; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; --tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw-scroll-snap-strictness: proximity; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgb(",2026-01-16T10:16:03,"go, UI/UX, wordpress, chat, apple, testing, catalyst"
Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,Remotive,$170k - $200k,full_time,"<p class=""h1"" dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 24pt; margin-bottom: 0pt; padding: 0pt 0pt 6pt 0pt;""><span style=""color: #000000; font-weight: bold; white-space-collapse: preserve;"">About Mitre Media</span></p>
<p dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 0pt; margin-bottom: 0pt; padding: 0pt 0pt 18pt 0pt;""><span style=""color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: norma",2026-01-14T20:46:36,"api, CSS, docker, elasticsearch, fullstack, html, javascript, kubernetes, postgresql, react, ror, ruby/rails, AI/ML, CAD, advertising, Redis, ES6, web applications, MySQL, NLP, fintech, Micro services, github, system architecture"
Tech Lead Databricks Data Engineer,Mitre Media,"USA, Canada, USA timezones",https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747,Remotive,$160k - $180k,full_time,"<div class=""h2"" dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 18pt; margin-bottom: 0pt; padding: 0pt 0pt 4pt 0pt;""><span style=""color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">About Mitre Media</span></div>
<p dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 0pt; margin-bottom: 0pt; padding: 8pt 0pt 12pt 0pt;"">",2026-01-14T20:46:28,"apache, api, AWS, big data, cloud, java, python, scala, sql, AI/ML, documentation, CAD, CI/CD, analytics, advertising, spark, tableau, GCP, ETL, data engineering, SOLID, fintech, Micro services, backbone, github"
Software Engineer C++ (Senior),Apexver,Worldwide,https://remotive.com/remote-jobs/software-development/software-engineer-c-senior-2069728,Remotive,$180k + bonus up to 100%,full_time,"<div class=""h3""><strong>Role Overview</strong></div>
<p>As a <strong>Senior Software Engineer</strong>, you will take leadership in designing, building, and scaling high-performance trading systems. You will be driving architectural decisions, mentoring others, and ensuring the reliability, latency, and correctness of our production systems.<br>Your role will bridge between quant research, trading operations, and engineering excellence.</p>
<div class=""h3""> </div>
<div class=""h3""><strong>Key Res",2026-01-14T13:45:40,"C++, python, research, mentoring, hardware, distributed systems, trading, scripting, kernel, testing, infrastructure, GPU"
Senior Front-End Developer- Analytics & UX Focused (Remote),Actionable.co,Worldwide,https://remotive.com/remote-jobs/software-development/senior-front-end-developer-analytics-ux-focused-remote-2088537,Remotive,$135k - $165k / year,full_time,"<p style=""margin-bottom: 20px; padding: 0px; border-style: initial; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-variant-position: inherit; font-variant-emoji: inherit; font-stretch: inherit; line-height: 1.7;  font-optical-sizing: inherit;  font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-language-override: inherit; vertical-align: baseline; text-rendering: optimizelegibility; color: rgb(68, ",2026-01-13T18:29:39,"excel, react, trading, financial services, infrastructure, statistics, banking"
🇫🇷 Senior Site Reliability Engineer (SRE) - Cloud,Scalingo,France,https://remotive.com/remote-jobs/devops/senior-site-reliability-engineer-sre-cloud-2088536,Remotive,€60k - €75k,full_time,"<p>🇫🇷 This job ad is written in French. 🇫🇷</p>
<p>🌍 À propos de Scalingo</p>
<p>Scalingo est une startup technologique en forte croissance. Notre <strong>plateforme cloud</strong> européenne, <strong>robuste et souveraine</strong>, libère les équipes techniques des contraintes d’infrastructure, pour leur permettre de se concentrer sur ce qui compte vraiment : créer, innover et délivrer.</p>
<p>Notre PaaS permet de déployer et d’héberger facilement des applications web et des bases de données, sa",2026-01-13T17:34:31,"cloud, SRE, paas, documentation, Site Reliability, engineering management, startup, Linux/Unix, SLA, infrastructure"
