title,company,location,url,source,salary,job_type,description,posted_date,tags
Graphic Designer – 3D Modeller,3D Outsource,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89817438?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Description:
• Exciting opportunity for a Graphic Designer with 3D Modelling skills to work with a leading Australian based manufacturing company
• Our client has built a reputation on delivering high quality, durable and innovative playgrounds that provide safe, fun and engaging play experiences
• This challenging role requires a combination of Graphic Design, Product Design and Industrial Design skills for each custom built project
• Use your Graphic Design skills in Photoshop, Illustrator and",2026-01-20T00:00:00.000Z,"Photoshop, Illustrator, InDesign, AutoCAD, SketchUp, Excel, Graphic Design"
Sr. Graphic Designer,Asurion,Taguig Metro Manila PH,https://careers.asurion.com/us/en/job/ASU0018004/Sr-Graphic-Designer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"As a Senior Graphic Designer, Marketing, this role is responsible for leading the creation and execution of high-quality visual assets across print and digital channels. The position combines strong creative design expertise with project management skills, ensuring that all deliverables are on-brand, strategically aligned, and delivered on time. This role requires a balance of hands-on design, brand stewardship, and cross-functional collaboration to support marketing initiatives and elevate the ",,"Photoshop, Illustrator, InDesign, Figma, After Effects, Adobe Creative Suite, Communication, Leadership, Project Management, Graphic Design, Typography, Social Media"
JR. Creative Specialist - Graphic Design Expert,Autohub Group of Companies,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89855386?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"A graphic design expert is responsible for creating and developing visual concepts that meet the needs and goals of the company. This position may require working independently or as part of a team, depending on the project size and scope.

What We’re Looking For:

Creative & Detail-Oriented – Strong visual sense, innovative thinking, conceptualization skills and excellent eye for detail

Multitasker – Able to manage multiple projects and meet deadlines in a fast-paced environment

Team Player –",2026-01-22T01:00:00.000Z,"Photoshop, Illustrator, InDesign, After Effects, Premiere Pro, Adobe Creative Suite, SketchUp, Communication, Graphic Design, Motion Graphics, Animation, Branding, Social Media"
Graphics Designer Artist/Video Editor,LS GROUP,Taguig Metro Manila PH,"https://www.glassdoor.com/job-listing/graphics-designer-artist-video-editor-ls-group-JV_IC2340354_KO0,37_KE38,46.htm?jl=1009993683233&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",JSearch,,Full-time,"Graphics Artist/Video Editor

creates visual content, designing graphics (logos, social posts, print) and editing videos (ads, social clips, long-form) for digital/print, ensuring brand consistency, adding motion/effects, and optimizing for platforms using tools like Adobe Creative Suite (PS, AE, Pr) or Canva, working with marketing teams to meet deadlines, and staying updated on trends. Key Responsibilities:
• Design Graphics: Create logos, banners, social media assets, flyers, and digital/prin",2026-01-09T00:00:00.000Z,"Photoshop, Illustrator, Canva, After Effects, Premiere Pro, Adobe Creative Suite, AI, Communication, Project Management, Graphic Design, Motion Graphics, Video Editing, Typography, Social Media"
Senior Graphic Designer,AECOM,Taguig Metro Manila PH,https://campus.aecom.jobs/taguig-city-phl/senior-graphic-designer/B619AC11CC704E77806D4692D884B54C/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Company Description

Work with Us. Change the World.

At AECOM, we're delivering a better world. Whether improving your commute, keeping the lights on, providing access to clean water, or transforming skylines, our work helps people and communities thrive. We are the world's trusted infrastructure consulting firm, partnering with clients to solve the world’s most complex challenges and build legacies for future generations.

There has never been a better time to be at AECOM. With accelerating in",2026-01-07T00:00:00.000Z,"Photoshop, Illustrator, InDesign, After Effects, Adobe Creative Suite, Communication, Leadership, Problem Solving, Project Management, Graphic Design, Animation, Social Media"
NO EXPERIENCE GRAPHIC ARTIST/DESIGNER | VIDEO EDITOR | MULTIMEDIA,iOPEX Technologies Philippines Inc.,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89757585?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Imagine, develop, and create. Make your ideas come to life with iOPEX Technologies!

We are looking for awesome and passionate Graphic Artist/Video Editor/Multimedia Artist who will join our growing #iOPEXhappyatwork team.

Responsibilities:
• Must be able to think creatively and develop marketing and promotional design concepts, graphics and layouts based from approved directions
• Responsible for the design, layout and formatting of a variety of creative projects, including brochures, posters,",2026-01-17T00:00:00.000Z,"AI, Graphic Design, Animation, Typography"
Junior Graphic Designer,GFL Metro Communities Inc.,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89561689?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Job description:

Marketing

o Assist the Marketing Lead through the organization and administrative work for the company’s various projects.

o Develop effective campaign ideas by understanding the prospective customers’ preferences to drive more leads and create awareness of both internal and external projects aligning to business strategic goals and objectives.

Creative Design

o Develop creative ideas and concepts by studying relevant information and materials to effectively choose the appr",2026-01-11T00:00:00.000Z,"Photoshop, Illustrator, InDesign, Premiere Pro, Excel, Graphic Design, Branding, Social Media"
Graphic Designer (Remote),Titan Power Plus,Taguig Metro Manila PH,https://taguig.ph.expertini.com/job/graphic-designer-remote-taguig-titan-power-plus-649-5659951/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Overview

We are looking for a creative powerhouse who excels in producing inventive humorous content and is a highly skilled graphic designer. We need this person to create highly engaging graphics and visuals for use across a variety of channels.

This person will have some Marketing experience and understands what graphic structures, effects, and styles work for Marketing purposes. This person will help our business grow even further by helping the company to create a strong visual presence a",2026-01-14T00:00:00.000Z,"Communication, Graphic Design, Branding, Digital Marketing, Social Media"
Jr. Graphic Designer,Twin Rams Media Group,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89548035?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Responsibilities:
• Create and edit design assets for digital and marketing use
• Manage and improve design templates
• Apply feedback and refine designs efficiently
• Ensure fast turnaround and consistent quality
• Organize design files and assets properly

Requirements:
• Degree or background in Graphic Design or related field
• 1–2 years experience (internships/freelance experience is an advantage)
• Proficient in Adobe Creative Suite; Canva is a plus
• Detail-oriented with good time manageme",2026-01-08T00:00:00.000Z,"Canva, Adobe Creative Suite, Graphic Design"
Senior Motion Graphic Designer,DigiPlus Online Operations,Taguig Metro Manila PH,"https://www.glassdoor.com/job-listing/senior-motion-graphic-designer-digiplus-online-operations-JV_IC2340354_KO0,30_KE31,57.htm?jl=1009998404700&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",JSearch,,Full-time,"Job Description:

1. Design and produce game UI motion effects and related visual assets (including but not limited to particle effects, UI animations, character animations, etc.) based on the product's visual style and project requirements, enhancing the game's presentation, fun factor, and immersion.

2. Participate in project planning and provide creative motion design solutions.

3. Work closely with the art team to ensure stylistic consistency between motion graphics and overall visuals, an",2026-01-14T00:00:00.000Z,"Photoshop, Figma, After Effects, Blender, AI, Communication, Teamwork, User Experience, Motion Graphics, Animation"
Graphic Designer (Remote + Morning Shift),HGS Offshore Staffing Solutions,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89688149?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Morning Shift + Remote

Summary:

We’re on the hunt for a talented and versatile Graphic Designer to join our fast-paced brand and marketing team. You’ll be the visual storyteller across our portfolio, bringing our brand worlds to life, from digital campaigns to product packaging and everything in between. This is a hands-on role perfect for someone who loves jumping between brand worlds, thrives on variety, and can balance big-picture creativity with day-to-day design execution.

Responsibiliti",2026-01-14T00:00:00.000Z,"Photoshop, Illustrator, InDesign, Figma, Canva, After Effects, Adobe Creative Suite, Go, Project Management, Graphic Design, Typography, Branding, Social Media"
Remote Graphic Designer — Brand & Motion Graphics Pro,Wing Assistant,Taguig Metro Manila PH,https://taguig.ph.expertini.com/job/remote-graphic-designer-brand-motion-graphics-pro-taguig-wing-assistant-649-3502860/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"A digital services company is seeking a remote Graphic Designer to create engaging content across various platforms. Candidates should have at least 1 year of experience in graphic design, familiarity with Adobe software, and excellent communication skills. The salary ranges from ₱39,500 to ₱64,000 monthly based on experience. This role offers a fully remote working environment along with various benefits including health insurance and a supportive team.
#J-18808-Ljbffr",2025-12-29T00:00:00.000Z,"Communication, Graphic Design"
Graphic Designer,Cushman & Wakefield,Taguig Metro Manila PH,https://careers.cushmanwakefield.com/fr/emplois/r297149/graphic-designer/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Job Title

Graphic Designer

Job Description Summary

As a member of the Marketing Creative Services Hub, the Graphic Designer role supports Cushman & Wakefield sales professionals and marketing partners in the execution of a variety of marketing deliverables including property assets, sales collaterals, brochures, social graphics, proposals and presentations, property flyers and more. The role provides timely, consistent, and high-quality production design outputs, working within the framework ",,"Illustrator, InDesign, Adobe Creative Suite, Go, Communication"
Graphic Designer - Onsite / BGC,Acquire Intelligence,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89560436?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"We’re an award-winning global outsourcer providing contact center and back office services on behalf of our global clients. Come work at a place where innovation and teamwork come together to support the most exciting missions in the world!

Acquire Intelligence exists to help businesses unlock smarter ways of working. We believe that by combining the best of people, process, and automation, companies can grow faster and operate with greater confidence. Our purpose is to remove complexity, impro",2026-01-08T00:00:00.000Z,"Communication, Teamwork, Project Management, Graphic Design, Branding"
Motion Graphics Designer (Gamezone),DigiPlus Online Operations,Taguig Metro Manila PH,"https://www.glassdoor.com/job-listing/motion-graphics-designer-gamezone-digiplus-online-operations-JV_IC2340354_KO0,33_KE34,60.htm?jl=1009948955816&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",JSearch,,Full-time,"We are a leading online gaming and poker platform company, committed to creating innovative and engaging experiences for our users. GameZone focuses on PvP card games and aims to strengthen its brand and user growth through impactful and compliant advertising.

We are seeking a Motion Graphics Designer to join our marketing team and deliver high-quality, PAGCOR-compliant video ads tailored to our games and campaigns.

What You'll Do
• .Transform product features and campaign highlights into enga",2025-12-24T00:00:00.000Z,"After Effects, Cinema 4D, Communication, Project Management, Motion Graphics, Video Editing, Animation, Digital Marketing"
DJI E-commerce Graphic Designer,Techdynamics OPC,Taguig Metro Manila PH,https://www.artmeet.ph/listing/job/view/880?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"We’re looking for a creative designer to craft stunning product images, banners, and videos that captivate customers across Shopee, Lazada, TikTok Shop, and more. You’ll collaborate with marketing teams, edit product photos, design social media layouts, and even add flair with video editing and motion graphics.

Responsibilities:
Key Responsibilities:
• Design and optimize product images, banners, and promotional materials for various online platforms.
• Ensure and be familiar with all visuals a",,"Photoshop, Illustrator, After Effects, Adobe Creative Suite, Lightroom, Communication, Graphic Design, Motion Graphics, Video Editing, Typography, Digital Marketing, Social Media"
